Date,Close
2005-06-13,14030
2005-06-14,14055
2005-06-15,13970
2005-06-16,13825
2005-06-17,13950
2005-06-20,14130
2005-06-21,14080
2005-06-22,14255
2005-06-23,14265
2005-06-24,14385
2005-06-27,14405
2005-06-28,14415
2005-06-29,14495
2005-06-30,14465
2005-07-01,14740
2005-07-04,15055
2005-07-05,15065
2005-07-06,15275
2005-07-07,15660
2005-07-08,15930
2005-07-11,15850
2005-07-12,16160
2005-07-13,15735
2005-07-14,15955
2005-07-15,16000
2005-07-18,16080
2005-07-19,16170
2005-07-20,16075
2005-07-21,16155
2005-07-22,16470
2005-07-25,16730
2005-07-26,16940
2005-07-27,16700
2005-07-28,16965
2005-07-29,16640
2005-08-01,16495
2005-08-02,16135
2005-08-03,16280
2005-08-04,15985
2005-08-05,16180
2005-08-08,16125
2005-08-09,15910
2005-08-10,15700
2005-08-11,15910
2005-08-12,15620
2005-08-15,15500
2005-08-16,15650
2005-08-17,15535
2005-08-18,15575
2005-08-19,15445
2005-08-22,15540
2005-08-23,15630
2005-08-24,15720
2005-08-25,15760
2005-08-26,15610
2005-08-29,15790
2005-08-30,15760
2005-08-31,16110
2005-09-01,16200
2005-09-02,16240
2005-09-05,16630
2005-09-06,16600
2005-09-07,16500
2005-09-08,16760
2005-09-09,16855
2005-09-12,16550
2005-09-13,16250
2005-09-14,16290
2005-09-15,16345
2005-09-26,16850
2005-09-27,16850
2005-09-28,16850
2005-09-29,17000
2005-09-30,16900
2005-10-10,16900
2005-10-11,16900
2005-10-12,16900
2005-10-13,16900
2005-10-14,16900
2005-10-17,16900
2005-10-18,16900
2005-10-19,17455
2005-10-20,17710
2005-10-21,17380
2005-10-24,17365
2005-10-25,17595
2005-10-26,17610
2005-10-27,17265
2005-10-28,17590
2005-10-31,17590
2005-11-01,17590
2005-11-02,17590
2005-11-03,17510
2005-11-04,17385
2005-11-07,17010
2005-11-08,17000
2005-11-09,16850
2005-11-10,16860
2005-11-11,16935
2005-11-14,17000
2005-11-15,16905
2005-11-16,16905
2005-11-17,16905
2005-11-18,16880
2005-11-21,16880
2005-11-22,16880
2005-11-23,17160
2005-11-24,17295
2005-11-25,17295
2005-11-28,17295
2005-11-29,16750
2005-11-30,16750
2005-12-01,16750
2005-12-02,16750
2005-12-05,17230
2005-12-06,17230
2005-12-07,17230
2005-12-08,17230
2005-12-09,17230
2005-12-12,17230
2005-12-13,17230
2005-12-14,17230
2005-12-15,17230
2005-12-16,17470
2005-12-19,17470
2005-12-20,17470
2005-12-21,17470
2005-12-22,17470
2005-12-23,17410
2005-12-26,17410
2005-12-27,17410
2005-12-28,17410
2005-12-29,17410
2005-12-30,17775
2006-01-04,18440
2006-01-05,18440
2006-01-06,18450
2006-01-09,18550
2006-01-10,18530
2006-01-11,18530
2006-01-12,19000
2006-01-13,19120
2006-01-16,19520
2006-01-17,19405
2006-01-18,19340
2006-01-19,19560
2006-01-20,19860
2006-01-23,19850
2006-01-24,20350
2006-01-25,20420
2006-01-26,20420
2006-01-27,20420
2006-02-06,21475
2006-02-07,22530
2006-02-08,21625
2006-02-09,22760
2006-02-10,22280
2006-02-13,22010
2006-02-14,21025
2006-02-15,21690
2006-02-16,20990
2006-02-17,20445
2006-02-20,20900
2006-02-21,20935
2006-02-22,20900
2006-02-23,20320
2006-02-24,20640
2006-02-27,20590
2006-02-28,20580
2006-03-01,20640
2006-03-02,21290
2006-03-03,21600
2006-03-06,21430
2006-03-07,21475
2006-03-08,20730
2006-03-09,20705
2006-03-10,20010
2006-03-13,20025
2006-03-14,19905
2006-03-15,20030
2006-03-16,19605
2006-03-17,19660
2006-03-20,19650
2006-03-21,19555
2006-03-22,19715
