,Date,RB05_p,RB05_v,RB05_po
172,2010-01-26,4265.0,818680.0,852992.0
173,2010-01-27,4316.0,1452742.0,891916.0
174,2010-01-28,4293.0,1793390.0,914470.0
175,2010-01-29,4300.0,1234868.0,870164.0
176,2010-02-01,4295.0,1156486.0,861912.0
177,2010-02-02,4159.0,2453186.0,825676.0
178,2010-02-03,4180.0,1448904.0,802842.0
179,2010-02-04,4115.0,1152398.0,775898.0
180,2010-02-05,4109.0,849138.0,711780.0
181,2010-02-08,4129.0,577962.0,685168.0
182,2010-02-09,4157.0,617652.0,690518.0
183,2010-02-10,4198.0,732940.0,680758.0
184,2010-02-11,4229.0,497494.0,676876.0
185,2010-02-12,4293.0,599774.0,656346.0
186,2010-02-22,4243.0,1055136.0,710878.0
187,2010-02-23,4283.0,1147210.0,798784.0
188,2010-02-24,4253.0,1098624.0,824246.0
189,2010-02-25,4209.0,929826.0,790336.0
190,2010-02-26,4214.0,703304.0,727690.0
191,2010-03-01,4209.0,520590.0,697674.0
192,2010-03-02,4155.0,425640.0,635048.0
193,2010-03-03,4143.0,234628.0,618836.0
194,2010-03-04,4141.0,231868.0,585416.0
195,2010-03-05,4168.0,233628.0,567908.0
196,2010-03-08,4189.0,268998.0,534642.0
197,2010-03-09,4195.0,152230.0,482724.0
198,2010-03-10,4209.0,182522.0,426834.0
199,2010-03-11,4213.0,145818.0,392298.0
200,2010-03-12,4209.0,85232.0,367532.0
201,2010-03-15,4244.0,136538.0,356908.0
202,2010-03-16,4346.0,468458.0,303364.0
203,2010-03-17,4338.0,286308.0,286034.0
204,2010-03-18,4320.0,130678.0,278414.0
205,2010-03-19,4346.0,119518.0,251868.0
206,2010-03-22,4358.0,147760.0,226350.0
207,2010-03-23,4359.0,92392.0,213184.0
208,2010-03-24,4418.0,186266.0,218844.0
209,2010-03-25,4429.0,156356.0,210078.0
210,2010-03-26,4439.0,181070.0,183636.0
211,2010-03-29,4461.0,113982.0,174058.0
212,2010-03-30,4426.0,93918.0,161876.0
213,2010-03-31,4416.0,65020.0,156942.0
214,2010-04-01,4411.0,62084.0,144398.0
215,2010-04-02,4418.0,44764.0,132560.0
216,2010-04-06,4438.0,53390.0,117636.0
217,2010-04-07,4460.0,36612.0,110434.0
218,2010-04-08,4431.0,34092.0,100898.0
219,2010-04-09,4464.0,25250.0,95492.0
220,2010-04-12,4499.0,40050.0,90112.0
221,2010-04-13,4556.0,99118.0,90924.0
222,2010-04-14,4573.0,79864.0,79456.0
223,2010-04-15,4509.0,51172.0,69682.0
224,2010-04-16,4514.0,37080.0,65018.0
225,2010-04-19,4461.0,32472.0,58948.0
226,2010-04-20,4474.0,12898.0,56356.0
227,2010-04-21,4455.0,16648.0,51538.0
228,2010-04-22,4443.0,13226.0,46662.0
229,2010-04-23,4422.0,13418.0,41552.0
230,2010-04-26,4397.0,7168.0,38274.0
231,2010-04-27,4339.0,8752.0,35024.0
232,2010-04-28,4291.0,11610.0,29116.0
233,2010-04-29,4262.0,9164.0,28240.0
234,2010-04-30,4290.0,6498.0,27022.0
235,2010-05-04,4315.0,2182.0,27480.0
236,2010-05-05,4300.0,1860.0,27420.0
237,2010-05-06,4295.0,3540.0,28080.0
238,2010-05-07,4279.0,4800.0,27840.0
239,2010-05-10,4246.0,1980.0,27420.0
240,2010-05-11,4208.0,2700.0,27060.0
241,2010-05-12,4070.0,4500.0,26760.0
242,2010-05-13,4083.0,2760.0,26760.0
243,2010-05-14,4060.0,2100.0,26400.0
244,2010-05-17,3915.0,1620.0,26400.0
245,2010-05-18,4541.0,684.0,474.0
246,2010-05-19,4534.0,1226.0,1372.0
247,2010-05-20,4555.0,550.0,1622.0
248,2010-05-21,4533.0,526.0,1746.0
249,2010-05-24,4615.0,700.0,2010.0
250,2010-05-25,4566.0,868.0,2346.0
251,2010-05-26,4563.0,378.0,2424.0
252,2010-05-27,4575.0,868.0,2664.0
253,2010-05-28,4558.0,832.0,2488.0
254,2010-05-31,4534.0,674.0,2834.0
255,2010-06-01,4497.0,906.0,3054.0
256,2010-06-02,4490.0,1166.0,3276.0
257,2010-06-03,4493.0,442.0,3288.0
258,2010-06-04,4483.0,498.0,3322.0
259,2010-06-07,4308.0,1746.0,3540.0
260,2010-06-08,4310.0,1148.0,4056.0
261,2010-06-09,4320.0,1366.0,4358.0
262,2010-06-10,4308.0,476.0,4502.0
263,2010-06-11,4334.0,298.0,4528.0
264,2010-06-17,4332.0,330.0,4536.0
265,2010-06-18,4341.0,664.0,4694.0
266,2010-06-21,4402.0,880.0,4930.0
267,2010-06-22,4379.0,2086.0,6326.0
268,2010-06-23,4340.0,1844.0,5724.0
269,2010-06-24,4343.0,498.0,5774.0
270,2010-06-25,4345.0,1434.0,5570.0
271,2010-06-28,4312.0,1346.0,6066.0
272,2010-06-29,4282.0,1764.0,6672.0
273,2010-06-30,4285.0,1028.0,6988.0
274,2010-07-01,4277.0,1772.0,7090.0
275,2010-07-02,4292.0,1402.0,7592.0
276,2010-07-05,4306.0,1192.0,7908.0
277,2010-07-06,4302.0,1212.0,8458.0
278,2010-07-07,4294.0,480.0,8320.0
279,2010-07-08,4286.0,930.0,8714.0
280,2010-07-09,4303.0,646.0,8744.0
281,2010-07-12,4315.0,3346.0,9626.0
282,2010-07-13,4278.0,2414.0,11056.0
